City;MacroRegion;MicroRegion
Aceguá;Sudoeste;Campanha Meridional
Água Santa;Noroeste;Passo Fundo
Agudo;Centro Ocidental;Restinga Seca
Ajuricaba;Noroeste;Ijuí
Alecrim;Noroeste;Santa Rosa
Alegrete;Sudoeste;Campanha Ocidental
Alegria;Noroeste;Ijuí
Almirante Tamandaré do Sul;Noroeste;Carazinho
Alpestre;Noroeste;Frederico Westphalen
Alto Alegre;Noroeste;Cruz Alta
Alto Feliz;Metropolitana;Montenegro
Alvorada;Metropolitana;Porto Alegre
Amaral Ferrador;Sudeste;Serras de Sudeste
Ametista do Sul;Noroeste;Frederico Westphalen
André da Rocha;Nordeste;Guaporé
Anta Gorda;Nordeste;Guaporé
Antônio Prado;Nordeste;Caxias do Sul
Arambaré;Metropolitana;Camaquã
Araricá;Metropolitana;Porto Alegre
Aratiba;Noroeste;Erechim
Arroio do Meio;Centro Oriental;Lajeado-Estrela
Arroio do Padre;Sudeste;Pelotas
Arroio do Sal;Metropolitana;Osório
Arroio do Tigre;Centro Oriental;Santa Cruz do Sul
Arroio dos Ratos;Metropolitana;São Jerônimo
Arroio Grande;Sudeste;Jaguarão
Arvorezinha;Nordeste;Guaporé
Augusto Pestana;Noroeste;Ijuí
Áurea;Noroeste;Erechim
Bagé;Sudoeste;Campanha Meridional
Balneário Pinhal;Metropolitana;Osório
Barão;Metropolitana;Montenegro
Barão de Cotegipe;Noroeste;Erechim
Barão do Triunfo;Metropolitana;São Jerônimo
Barra do Guarita;Noroeste;Três Passos
Barra do Quaraí;Sudoeste;Campanha Ocidental
Barra do Ribeiro;Metropolitana;Camaquã
Barra do Rio Azul;Noroeste;Erechim
Barra Funda;Noroeste;Carazinho
Barracão;Noroeste;Sananduva
Barros Cassal;Noroeste;Soledade
Benjamin Constant do Sul;Noroeste;Erechim
Bento Gonçalves;Nordeste;Caxias do Sul
Boa Vista das Missões;Noroeste;Carazinho
Boa Vista do Buricá;Noroeste;Três Passos
Boa Vista do Cadeado;Noroeste;Cruz Alta
Boa Vista do Incra;Noroeste;Cruz Alta
Boa Vista do Sul;Nordeste;Caxias do Sul
Bom Jesus;Nordeste;Vacaria
Bom Princípio;Metropolitana;Montenegro
Bom Progresso;Noroeste;Três Passos
Bom Retiro do Sul;Centro Oriental;Lajeado-Estrela
Boqueirão do Leão;Centro Oriental;Lajeado-Estrela
Bossoroca;Noroeste;Santo Ângelo
Bozano;Noroeste;Ijuí
Braga;Noroeste;Três Passos
Brochier;Metropolitana;Montenegro
Butiá;Metropolitana;São Jerônimo
Caçapava do Sul;Sudeste;Serras de Sudeste
Cacequi;Centro Ocidental;Santa Maria
Cachoeira do Sul;Centro Oriental;Cachoeira do Sul
Cachoeirinha;Metropolitana;Porto Alegre
Cacique Doble;Noroeste;Sananduva
Caibaté;Noroeste;Cerro Largo
Caiçara;Noroeste;Frederico Westphalen
Camaquã;Metropolitana;Camaquã
